iso3,country,region,subregion,GDP_capita_PPP_1999,GDP_capita_PPP_2000,GDP_capita_PPP_2001,GDP_capita_PPP_2002,GDP_capita_PPP_2003,GDP_capita_PPP_2004,GDP_capita_PPP_2005,GDP_capita_PPP_2006,GDP_capita_PPP_2007,GDP_capita_PPP_2008,GDP_capita_PPP_2009,GDP_capita_PPP_2010,GDP_capita_PPP_2011,GDP_capita_PPP_2012,GDP_capita_PPP_2013,GDP_capita_PPP_2014,GDP_capita_PPP_2015,GDP_capita_PPP_2016,GDP_capita_PPP_2017,population_2017,u5mr_1999,u5mr_2000,u5mr_2001,u5mr_2002,u5mr_2003,u5mr_2004,u5mr_2005,u5mr_2006,u5mr_2007,u5mr_2008,u5mr_2009,u5mr_2010,u5mr_2011,u5mr_2012,u5mr_2013,u5mr_2014,u5mr_2015,u5mr_2016,u5mr_2017,basic_sanitation_2015,basic_water_2015,Fruit_2016,Vegetables_2016,Whole grain_2016,Calcium_2016,Processed meat_2016,Red meat_2016,Salt_2016,Saturated fat_2016,Sugar_sweetened_beverages_2016,Trans fat_2016,child_overweight_plan,fbdg,overweight_adults_adoles_plan,sugar_tax,sodium_plan,wasting_plan,country_class,gender_inequality_score_2017,gender_inequality_rank_2017,female_secondary_enroll_net_1999,female_secondary_enroll_net_2000,female_secondary_enroll_net_2001,female_secondary_enroll_net_2002,female_secondary_enroll_net_2003,female_secondary_enroll_net_2004,female_secondary_enroll_net_2005,female_secondary_enroll_net_2006,female_secondary_enroll_net_2007,female_secondary_enroll_net_2008,female_secondary_enroll_net_2009,female_secondary_enroll_net_2010,female_secondary_enroll_net_2011,female_secondary_enroll_net_2012,female_secondary_enroll_net_2013,female_secondary_enroll_net_2014,female_secondary_enroll_net_2015,female_secondary_enroll_net_2016,adult_fem_diabetes_track,adult_fem_obesity_track,adult_mal_diabetes_track,adult_mal_obesity_track,fruit_veg_availability_1999,fruit_veg_availability_2000,fruit_veg_availability_2001,fruit_veg_availability_2002,fruit_veg_availability_2003,fruit_veg_availability_2004,fruit_veg_availability_2005,fruit_veg_availability_2006,fruit_veg_availability_2007,fruit_veg_availability_2008,fruit_veg_availability_2009,fruit_veg_availability_2010,fruit_veg_availability_2011,fruit_veg_availability_2012,fruit_veg_availability_2013
FJI,Fiji,Oceania,Melanesia,6829.07,6673.85,6782.28,6986.68,7048.45,7406.36,7426.78,7513.22,7383.26,7384.09,7208.01,7352.09,7488.83,7537.93,7839.87,8222.25,8477.64,8447.26,8702.98,905.5,23.2,22.9,22.7,22.5,22.6,22.8,23.1,23.4,23.7,23.9,24,24,24,24,24.1,24.3,24.6,25,25.3,95.68,93.71,51.45,71.71,15.33,0.32,1.26,19.71,2.58,0.15,103.70,0.00,Yes,Yes,Yes,Yes,No,No,experiencing two forms of malnutrition,0.35,78.00,80.33,76.07,77.46,79.75,79.78,86.94,No data,89.32,86.54,No data,84.98,No data,88.53,87.98,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,173.06,179.58,191.89,182.56,206.06,217.10,218.81,241.37,245.40,274.54,214.21,217.84,215.62,207.29,233.30
FRA,France,Europe,Western Europe,33810.4,34880.88,35304.73,35440.92,35479.01,36200.08,36505.85,37113.18,37755.29,37618.21,36324.36,36855.84,37440.64,37327.94,37350.28,37523.73,37766.37,38062.64,38605.67,64979.55,5.5,5.4,5.2,5.1,4.9,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.1,4.2,4.2,4.2,6.55,6.69,85.06,116.44,17.64,0.78,7.59,49.53,3.74,0.11,99.35,0.00,No,Yes,Yes,Yes,Yes,No,No data,0.08,16.00,93.99,93.42,93.46,94.39,95.24,95.70,No data,No data,No data,99.14,98.83,98.54,98.57,99.63,No data,No data,No data,No data,On course,No progress or worsening,No progress or worsening,No progress or worsening,543.80,566.57,560.50,576.08,556.14,601.77,592.58,571.17,587.59,591.94,606.98,591.83,584.53,565.06,579.88
FSM,Micronesia (Federated States of),Oceania,Micronesia,2972.37,3119.12,3181.52,3206.05,3273.58,3178.2,3255.2,3266.7,3221.06,3167.72,3220.98,3297.66,3412.91,3343.88,3208.68,3130.05,3271.27,3253.48,3299.46,105.54,54.5,53.5,52.4,51.1,49.8,48.4,47,45.6,44.2,42.7,41.4,40.2,38.9,37.7,36.5,35.3,34.2,33.1,32.2,No data,88.35,73.75,59.67,17.14,0.24,0.64,14.89,2.59,0.15,96.85,0.00,Yes,No,Yes,Yes,Yes,No,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,358.25,380.30,350.46,343.81,309.55,338.85,337.30,388.64,359.81,354.71,363.29,357.84,362.66,339.94,386.97
GAB,Gabon,Africa,Middle Africa,18582.04,17782.7,17714.38,17231.37,17171.08,16832.48,16803.55,15860.38,16312.58,15288.14,14822.39,15355.78,15893.55,16159.72,16503.07,16678.64,16836.78,16756.69,16562.41,2025.14,84.4,83.1,81.6,80,78.3,76.5,74.5,72.7,70.5,68.2,65.6,63.3,61.2,59,56.9,54.6,52.5,50.1,48.3,40.93,87.54,202.85,84.68,23.65,0.30,1.62,14.96,3.35,0.05,89.04,0.00,Yes,No,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.53,126.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,560.09,561.43,553.42,521.60,506.47,516.67,520.76,514.30,507.74,503.92,566.64,593.92,536.90,544.52,538.71
GBR,United Kingdom,Europe,Northern Europe,32205.15,33266.12,33981.38,34669.52,35656.18,36292.18,37159.8,37793.62,38384.25,37903.38,36042.42,36366.98,36607.98,36892.85,37398.8,38251.79,38839.17,39309.33,39753.24,66181.59,6.7,6.5,6.4,6.3,6.3,6.2,6,5.9,5.8,5.6,5.4,5.2,5,4.8,4.6,4.5,4.5,4.4,4.3,1.47,4.35,84.87,142.53,32.86,0.77,11.11,31.37,2.87,0.09,67.35,0.01,Yes,Yes,Yes,Yes,Yes,No,No data,0.12,25.00,95.13,95.34,95.61,96.57,97.04,96.57,97.38,94.15,92.73,93.82,95.47,96.95,93.56,91.29,94.78,98.35,99.33,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,489.64,470.73,500.82,503.08,569.58,565.75,610.69,636.82,598.67,622.47,585.71,592.12,609.99,599.76,614.79
GEO,Georgia,Asia,Western Asia,3180.32,3263.86,3445.58,3658.71,4116.2,4414.78,4902.09,5432.08,6183.34,6408.06,6254.87,6733.78,7315.09,7881.33,8254.01,8749.16,9025.13,9276.77,9745.08,3912.06,37.5,35.4,33.1,30.9,28.7,26.5,24.4,22.5,20.8,19.2,17.8,16.6,15.5,14.5,13.6,12.8,12.1,11.4,10.8,84.88,20.29,61.81,135.07,21.16,0.61,1.39,16.95,4.75,0.06,94.11,0.01,Yes,Yes,Yes,No,No,No,experiencing two forms of malnutrition,0.35,77.00,76.00,76.47,No data,No data,No data,No data,74.09,76.61,No data,79.59,No data,No data,No data,No data,88.17,92.19,95.07,96.83,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,340.87,340.24,342.88,326.82,340.91,338.34,412.40,268.45,277.68,273.10,250.68,239.16,268.01,269.84,295.00
GHA,Ghana,Africa,Western Africa,2232.83,2259.06,2291.02,2333.68,2392.33,2461.32,2539.33,2632.03,2675.44,2845.23,2907.55,3059.38,3404.46,3632.45,3807.34,3868.6,3926.71,3982.77,4227.63,28833.63,102.5,99.2,95.9,92.8,90.1,87.8,85.7,83.7,81.5,78.9,75.9,72.4,68.9,65.2,61.5,58,54.7,51.8,49.3,14.28,50.93,244.82,74.83,32.63,0.34,1.01,4.43,2.48,0.05,86.67,0.00,Yes,No,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.54,129.00,29.15,29.77,28.75,30.31,31.37,No data,34.62,36.25,41.71,42.50,41.17,No data,No data,No data,49.17,48.47,52.09,52.68,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,443.95,394.51,403.90,431.03,424.64,457.67,483.17,483.28,526.85,530.37,558.55,563.25,629.64,638.45,654.28
GIN,Guinea,Africa,Western Africa,1410.73,1420.63,1445.92,1492.93,1483.56,1489.42,1504.03,1490.72,1558.54,1587.42,1534.97,1573.54,1625.56,1684.15,1711.71,1734.74,1758.32,1894.44,1998.93,12717.18,173,165.4,157.8,150.4,143.5,137.1,131.4,126.1,121.3,116.8,112.7,108.8,105.1,101.6,98.2,94.9,91.7,88.7,85.7,21.95,67.37,126.19,98.87,26.21,0.22,0.63,5.99,2.70,0.08,89.82,0.00,Yes,No,Yes,No,Yes,Yes,experiencing three forms of malnutrition,No data,No data,6.18,No data,9.04,10.59,12.12,13.13,15.97,18.50,No data,No data,No data,No data,23.75,No data,No data,26.24,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,451.10,428.09,440.61,457.40,465.14,474.71,471.05,411.52,406.73,401.75,408.40,408.32,402.59,397.24,372.73
GMB,Gambia,Africa,Western Africa,1513.56,1549.59,1589.59,1490.01,1541.99,1598.33,1533.25,1501.8,1507.7,1544.53,1593.02,1644.24,1524.77,1560.33,1584.75,1550.22,1568.04,1554.9,1561.77,2100.57,122.9,118.4,114,109.7,105.5,101.4,97.5,93.7,90.1,86.9,83.8,80.8,78,75.3,72.8,70.2,67.9,65.8,63.6,41.69,80.06,12.72,65.96,28.53,0.26,0.67,4.10,2.70,0.08,98.46,0.00,No,No,Yes,No,No,Yes,experiencing three forms of malnutrition,0.62,147.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,135.78,111.50,93.11,117.55,75.66,122.24,119.55,107.28,109.18,114.78,106.79,130.64,111.55,91.63,81.98
GNB,Guinea-Bissau,Africa,Western Africa,1316.93,1363.34,1366.49,1325.82,1305.43,1312.52,1338.3,1338.35,1350.2,1360.63,1372.54,1400.36,1475.39,1412.95,1421.34,1398.25,1446.49,1498.84,1548.67,1861.28,181.1,175.8,170.2,164.3,158.2,151.9,145.5,139,132.4,126,119.8,113.8,108.2,103,98.4,94.5,90.7,87.4,84.2,21.47,69.20,69.98,39.05,25.84,0.16,0.62,13.24,2.70,0.11,87.75,0.00,Yes,No,Yes,No,No,Yes,experiencing three forms of malnutrition,No data,No data,No data,5.96,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,198.70,196.11,190.25,193.82,180.38,186.90,197.34,191.83,180.20,187.54,190.45,199.26,197.97,200.16,196.55
GNQ,Equatorial Guinea,Africa,Middle Africa,9507.22,10792.73,16932,19418.69,21230.11,28076.35,31372.08,32300.74,35570.73,40015.82,38738.15,33723.37,34363.15,35632.05,32736.1,31542.51,27554.2,24240.43,22604.87,1267.69,160.5,156.4,152.4,148,143.7,139.3,134.8,130.4,126,121.6,117.3,113.5,109.8,106.4,102.8,99.3,96,92.8,89.6,74.54,49.59,203.99,159.96,21.53,0.50,2.91,23.71,3.35,0.07,96.76,0.00,No,No,No,No,No,Yes,experiencing three forms of malnutrition,No data,No data,8.86,No data,No data,No data,No data,No data,17.78,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
GRC,Greece,Europe,Southern Europe,24000.14,24839.08,25731.21,26642.77,28119.41,29469.53,29559.28,31136.45,32073.96,31881.71,30430.42,28726.08,26141.32,24364.27,23746.08,24081.63,24170.3,24211.74,24574.38,11159.77,6.9,6.4,6,5.6,5.2,4.9,4.6,4.3,4.1,4,3.9,3.9,3.9,4,4.2,4.4,4.8,5.1,5.3,23.72,1.10,171.40,249.67,34.16,0.83,3.18,47.19,4.19,0.10,90.98,0.00,No,Yes,No,No,Yes,No,No data,0.12,26.00,82.04,81.92,83.30,84.78,83.83,84.92,87.48,86.64,83.94,No data,No data,90.60,No data,No data,89.79,87.97,89.36,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,1250.72,1241.00,1240.26,1176.30,1202.98,1335.17,1188.33,1067.89,1095.07,1015.90,1074.42,941.29,998.28,945.65,947.71
GRD,Grenada,Latin America and the Caribbean,Caribbean,9217.77,9651.49,9434.8,9735.11,10627.81,10530.1,11893.82,11384.66,12043.59,12117.65,11276.49,11178,11220.83,11048.5,11262.7,12038.47,12757.97,13167.05,13593.88,107.83,16.2,15.7,15.3,14.9,14.6,14.4,14.1,14,13.9,14,14.1,14.3,14.6,15,15.4,15.9,16.3,16.6,16.7,78.30,95.63,107.98,83.37,92.57,0.35,1.20,15.44,3.10,0.10,188.72,0.00,Yes,Yes,Yes,No,Yes,Yes,No data,No data,No data,No data,No data,No data,91.23,76.01,83.51,77.12,No data,No data,No data,No data,No data,No data,No data,80.92,83.51,86.35,90.17,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,671.64,479.58,449.39,537.24,601.90,532.35,511.56,547.33,550.65,489.61,476.69,499.90,468.03,492.61,511.60
GTM,Guatemala,Latin America and the Caribbean,Central America,5994.87,6070.72,6069.48,6157.57,6166.11,6213.13,6269.16,6458,6713.15,6781.9,6670,6714.06,6844.5,6899.11,7005.03,7147.43,7292.72,7368.61,7423.81,16913.5,54,51.9,49.8,47.9,46.1,44.3,42.6,41.1,39.6,38.1,36.7,35.4,34.1,32.9,31.7,30.6,29.6,28.6,27.6,67.36,32.78,87.78,109.41,174.28,0.32,0.91,9.66,2.31,0.06,320.73,0.00,Yes,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.49,118.00,20.56,24.35,27.96,28.35,No data,No data,No data,No data,No data,37.33,39.36,43.10,43.41,44.08,44.30,44.96,46.32,46.16,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,311.50,307.57,290.87,325.80,334.38,308.73,334.31,381.40,371.32,386.42,355.19,361.83,364.52,316.52,320.02
GUY,Guyana,Latin America and the Caribbean,South America,4573.02,4521.9,4630.03,4681.05,4634.16,4788.11,4698.82,4948.72,5308.39,5424.6,5621.96,5847.86,6130.84,6420.11,6696.78,6906.01,7076.94,7266.34,7435.05,777.86,47.9,46.7,45.5,44.5,43.4,42.5,41.6,40.8,39.9,39.1,38.3,37.6,36.8,36,35.1,34.3,33.3,32.3,31.3,86.16,95.07,71.60,115.68,101.67,0.50,0.83,5.78,3.09,0.09,186.60,0.00,No,Yes,No,No,Yes,No,experiencing two forms of malnutrition,0.50,120.00,71.02,No data,No data,No data,No data,No data,No data,No data,No data,No data,76.52,No data,89.95,85.87,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,331.13,513.99,411.43,365.00,360.85,289.04,373.97,358.84,265.50,311.67,390.54,427.47,321.99,309.68,388.88
HND,Honduras,Latin America and the Caribbean,Central America,3230.3,3328.51,3332.93,3372.36,3440.15,3568.15,3697.17,3852.21,4002.21,4084.3,3904.46,3971.18,4046.08,4136.82,4177.58,4231.33,4319.47,4406.77,4541.8,9265.07,39.2,37.4,35.7,34.1,32.5,31.1,29.6,28.3,27,25.9,24.7,23.7,22.7,21.9,21,20.3,19.6,18.9,18.2,79.78,92.18,97.49,90.60,188.78,0.40,0.78,11.95,3.62,0.09,310.18,0.01,Yes,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,48.27,48.21,48.05,48.85,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,268.55,229.99,222.09,282.01,319.98,313.98,298.52,310.21,331.25,343.26,344.87,328.45,355.15,387.20,363.87
HRV,Croatia,Europe,Southern Europe,14746,15742.41,16231.73,17083.32,18032.8,18773.27,19541.73,20486.07,21560.53,22010.65,20410.42,20171.96,20750.44,20346.76,20271.28,20334.45,20983.99,21799.93,22669.8,4189.35,8.6,8.3,8,7.7,7.4,7,6.7,6.4,6.2,5.9,5.7,5.5,5.3,5.2,5,4.9,4.8,4.7,4.6,37.34,9.13,107.99,147.33,19.23,0.73,0.62,33.35,4.59,0.09,109.31,0.00,No,Yes,Yes,No,Yes,No,No data,0.12,29.00,82.83,83.19,83.45,84.39,86.01,No data,89.59,No data,No data,94.58,98.32,98.00,95.78,95.78,94.97,93.81,93.71,92.48,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,557.32,497.66,537.29,556.75,529.51,420.69,389.80,490.12,532.52,536.70,566.42,510.55,523.47,451.41,517.06
HTI,Haiti,Latin America and the Caribbean,Caribbean,1754.1,1739.39,1692.84,1661.41,1641.11,1558.53,1561.96,1572.3,1599.8,1588.68,1613.09,1502.03,1562.28,1584.83,1629.36,1652.85,1651.23,1654.17,1653.17,10981.23,107.7,104,100.6,97.6,94.8,92.4,90.3,88.4,86.6,85,83.5,210.9,80.6,79.3,77.9,76.5,75,73.4,71.7,30.54,64.17,88.94,39.15,125.53,0.21,0.44,8.01,3.07,0.08,149.11,0.00,No,No,No,No,No,Yes,experiencing three forms of malnutrition,0.60,142.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No data,No progress or worsening,No data,327.95,345.42,281.40,278.07,278.38,280.17,279.21,265.76,284.50,242.27,261.06,240.25,234.45,236.21,232.99
HUN,Hungary,Europe,Eastern Europe,17181.94,17951.74,18683.98,19585.72,20397.84,21466.22,22452.82,23353.85,23491.75,23734.24,22202.16,22404.24,22841.21,22582.07,23119.02,24161.43,25034.45,25664.14,26777.56,9721.56,10.7,10.1,9.5,8.9,8.4,7.9,7.5,7.2,6.9,6.5,6.2,6,5.9,5.7,5.6,5.4,5.1,4.8,4.5,22.35,18.43,77.76,268.80,18.89,0.54,5.07,41.83,4.70,0.10,88.10,0.01,Yes,Yes,Yes,Yes,Yes,No,No data,0.26,54.00,83.99,85.38,87.61,88.97,90.45,89.00,89.83,89.97,90.01,89.37,89.03,89.04,88.21,88.80,89.60,89.85,89.30,89.23,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,453.01,495.84,453.03,471.83,503.12,562.86,517.41,609.79,513.92,484.80,513.08,372.63,399.24,416.57,376.00
IDN,Indonesia,Asia,South-eastern Asia,5611.22,5805.81,5934.14,6115.57,6319.67,6546.49,6824.61,7102.11,7450.6,7792.63,8044.97,8433.5,8837.82,9251.18,9643.27,10003.09,10367.7,10766.37,11188.74,263991.38,54.6,52.1,49.7,47.4,45.3,49.3,41.4,39.7,37.9,36.3,34.8,33.2,31.8,30.6,29.4,28.3,27.2,26.3,25.4,67.89,89.52,98.68,94.54,18.57,0.19,0.32,7.74,2.89,0.09,82.15,0.00,Yes,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.45,103.00,No data,No data,49.29,50.50,53.11,54.67,53.09,57.77,64.43,62.73,62.93,65.11,71.95,75.02,74.86,75.94,77.58,No data,No progress or worsening,No progress or worsening,No progress or worsening,No data,187.42,185.78,192.43,209.70,234.71,256.56,257.00,271.35,269.68,282.03,293.59,265.67,294.58,297.58,270.48
IND,India,Asia,Southern Asia,2445.75,2495.05,2570.43,2623.33,2783,2955.2,3178.83,3419.93,3698.78,3786.63,4049.81,4404.7,4635.88,4827.56,5073.61,5385.14,5756.66,6095.72,6426.67,1339180.13,95.3,91.7,88.1,84.6,81.2,77.8,74.5,71.2,68,64.7,61.6,58.4,55.3,52.4,49.5,46.7,44.1,41.6,39.4,44.15,87.56,82.41,205.15,133.35,0.32,0.97,3.04,4.08,0.06,97.76,0.01,Yes,Yes,Yes,Yes,Yes,Yes,experiencing two forms of malnutrition,0.52,125.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,62.19,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,280.93,273.29,287.03,256.98,280.84,251.75,266.15,296.95,316.67,330.27,324.96,353.58,361.73,374.57,397.44
IRL,Ireland,Europe,Northern Europe,35935.79,38849.86,40455.3,42289.07,42903.67,44940.95,46613.56,47879.02,48937.49,46062.63,43487.48,44030.41,45147.38,44973.18,45470.16,48898.33,60818.05,63227.21,67335.29,4761.66,7.3,7.2,6.9,6.5,6,5.6,5.2,4.8,4.6,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5,21.91,0.05,115.68,142.47,26.77,0.87,5.54,62.92,4.20,0.09,101.10,0.00,Yes,Yes,Yes,Yes,Yes,No,No data,0.11,23.00,87.69,87.88,87.73,89.79,91.90,94.40,96.29,97.43,98.54,99.28,100.00,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,347.05,378.42,440.39,523.73,585.27,536.61,502.52,525.85,606.13,651.23,630.19,606.27,601.64,678.04,691.72
IRN,Iran,Asia,Southern Asia,12612.48,13135.47,13047.45,13812.83,14838.3,15308.45,15616.25,16211.47,17338.13,17187.29,17162.05,17942.83,18192.11,16625.92,16383.26,16924.2,16500.9,18497.67,19082.62,81162.79,36.2,34.2,32.4,30.6,28.9,27.3,25.8,24.4,23.1,21.8,20.6,19.6,18.8,18,17.3,16.6,16,15.5,14.9,88.29,3.49,192.84,368.83,37.80,0.38,0.88,8.99,4.23,0.05,99.41,0.01,Yes,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.46,108.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,77.36,76.72,79.93,82.15,78.72,81.04,72.68,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,884.79,839.78,843.35,921.11,907.63,936.14,1072.81,1009.91,1030.86,961.42,1024.22,974.90,1047.40,1033.20,1058.97
IRQ,Iraq,Asia,Western Asia,12368.64,12176.81,12105.02,10959.02,7134.57,10710.56,10895.46,11703.47,11575.29,12217.45,12299.4,12717.6,13261.6,14625.97,15223.58,14838.38,15072.87,16242.07,15663.99,38274.62,45.7,44.9,44,43.3,42.5,41.8,41.1,40.3,39.5,38.6,37.8,36.9,36,35.1,34.1,33.2,32.3,31.3,30.4,53.72,86.10,59.80,290.44,39.25,0.25,0.71,4.52,4.23,0.06,89.83,0.00,Yes,No,Yes,No,Yes,Yes,experiencing three forms of malnutrition,0.51,121.00,24.13,25.57,No data,No data,30.94,33.59,No data,No data,39.90,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,523.40,483.01,537.36,484.54,366.77,425.04,473.63,499.49,483.14,417.10,433.10,510.25,423.92,382.44,440.34
ISL,Iceland,Europe,Northern Europe,32995.22,34044.65,34914.55,34794.79,35369.02,37890.7,39679.04,40703.04,43427.85,43334.9,40377.83,38978.01,39621.94,39931.61,41259.8,41701.14,43048.13,45630.94,46482.96,335.03,4.4,4.1,3.9,3.7,3.5,3.4,3.2,3.1,3,2.9,2.8,2.7,2.6,2.5,2.4,2.3,2.3,2.2,2.1,29.88,1.72,142.86,113.31,22.23,1.03,8.68,44.86,3.42,0.14,105.75,0.00,Yes,Yes,Yes,No,No,No,No data,0.06,9.00,86.02,84.70,83.98,86.79,89.34,91.00,91.62,91.32,91.00,89.86,87.99,88.57,87.21,87.59,88.89,89.88,90.59,No data,On course,No progress or worsening,On course,No progress or worsening,377.75,412.99,437.72,458.74,444.70,460.07,491.53,573.13,618.20,592.12,541.18,526.88,529.98,573.03,556.75
ISR,Israel,Asia,Western Asia,25462.87,26824.71,26206.44,25725.47,25459.08,26156.04,26761.23,27662.35,28744.36,29082.07,28787.5,29743.01,30558.39,30582.15,31250.8,31702.08,32024.35,32688.41,33132.32,8321.57,7.2,6.9,6.6,6.4,6.1,5.8,5.6,5.3,5.1,4.9,4.7,4.6,4.4,4.2,4.1,4,3.8,3.7,3.6,6.72,0.61,175.85,356.24,33.51,0.83,3.54,30.42,4.19,0.08,92.76,0.00,Yes,Yes,Yes,No,Yes,No,No data,0.10,21.00,96.43,98.64,99.39,100.00,99.31,100.00,100.00,100.00,100.00,No data,No data,No data,99.59,98.87,99.16,99.63,99.85,No data,On course,No progress or worsening,No progress or worsening,No progress or worsening,1092.43,1043.21,1053.40,1079.66,1001.95,1108.66,1062.57,900.96,859.39,786.24,859.11,776.68,756.26,822.29,802.97
ITA,Italy,Europe,Southern Europe,35244.76,36535.82,37162.42,37199.35,37090.41,37434.1,37604.36,38243.81,38612.01,37954.16,35710.42,36201.16,36347.34,35227.62,34219.83,33945.84,34302.04,34655.26,35220.08,59359.9,5.9,5.6,5.3,5.1,4.8,4.6,4.5,4.3,4.2,4.1,4.1,4,3.9,3.8,3.7,3.6,3.5,3.4,3.4,3.86,6.32,152.46,158.42,12.68,0.77,6.10,42.00,4.10,0.09,94.12,0.00,Yes,Yes,Yes,No,Yes,No,No data,0.09,18.00,85.30,85.03,88.66,90.07,90.97,92.35,92.27,92.97,92.79,94.70,94.51,95.64,93.87,93.77,95.33,95.72,96.23,No data,On course,No progress or worsening,No progress or worsening,No progress or worsening,881.99,940.39,805.40,789.62,844.92,964.87,923.17,881.16,874.83,846.56,956.73,823.72,790.18,722.61,736.07
JAM,Jamaica,Latin America and the Caribbean,Caribbean,7927.77,7931.26,7977.44,8081.12,8324.69,8384.61,8410.56,8605.46,8680.92,8565.23,8153,7996.02,8099.16,8016.04,8025.47,8051.24,8095.26,8179.62,8193.57,2890.3,23,22.3,21.8,21.3,20.8,20.5,20.2,20,19.8,19.4,19.1,18.7,18.2,17.7,17.2,16.7,16.2,15.7,15.2,85.37,92.92,140.55,139.79,96.92,0.50,1.01,9.32,3.09,0.10,190.61,0.00,Yes,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.41,94.00,81.79,77.67,76.70,77.43,78.12,83.27,83.68,No data,No data,No data,No data,No data,79.76,No data,76.44,76.20,75.46,76.78,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,625.59,576.63,625.17,567.91,634.96,586.46,534.28,568.11,533.83,483.06,542.06,512.53,572.00,569.50,564.97
JOR,Jordan,Asia,Western Asia,7062.44,7234.96,7483.65,7775.79,7935.33,8399.12,8799.59,9158.95,9493.48,9714.78,9749.14,9472.77,9214.21,8964.26,8756.71,8622.19,8491.05,8389.6,8337.49,9702.35,28.5,27.8,27.1,26.4,25.7,25,24.3,23.6,23,22.3,21.7,21.1,20.5,19.9,19.2,18.7,18.1,17.6,17,19.45,5.27,77.97,225.87,40.71,0.43,0.79,12.34,4.23,0.07,109.87,0.00,Yes,No,Yes,No,No,Yes,experiencing two forms of malnutrition,0.46,107.00,77.65,77.80,No data,80.72,81.28,80.13,78.63,81.50,No data,82.56,No data,No data,78.52,No data,71.44,70.28,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,360.57,416.34,351.13,521.53,473.38,512.22,485.15,516.45,419.51,396.82,402.73,490.28,507.49,482.84,476.81
